"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17182-9642","PG","Russell","","Westbrook","58.51500244140625","20","12600","NO@OKC","OKC","NO","","","",""
"17182-15755","PF","Anthony","","Davis","54.58420924136513","19","11900","NO@OKC","NO","OKC","","","",""
"17182-12362","C","DeMarcus","","Cousins","48.10000128495066","19","10900","SAC@NY","SAC","NY","","","",""
"17182-9623","PG","Chris","","Paul","41.25714401971726","21","9100","IND@LAC","LAC","IND","","","",""
"17182-9560","PF","Blake","","Griffin","40.095001220703125","20","9000","IND@LAC","LAC","IND","","","",""
"17182-12341","SF","Paul","","George","35.6000010172526","12","8300","IND@LAC","IND","LAC","GTD","Back","",""
"17182-15557","C","Andre","","Drummond","35.5","20","7900","ORL@DET","DET","ORL","","","",""
"17182-9508","SF","Carmelo","","Anthony","35.10526315789474","19","7800","SAC@NY","NY","SAC","","","",""
"17182-63122","PF","Kristaps","","Porzingis","34.489473041735195","19","7500","SAC@NY","NY","SAC","","","",""
"17182-14523","PG","Reggie","","Jackson","30.98227971716772","79","7200","ORL@DET","DET","ORL","O","Knee","",""
"17182-9446","PG","Jeff","","Teague","32.78947368421053","19","7200","IND@LAC","IND","LAC","","","",""
"17182-14514","C","Nikola","","Vucevic","31.710000610351564","20","7100","ORL@DET","ORL","DET","","","",""
"17182-9663","PG","Jrue","","Holiday","28.950000762939453","8","7100","NO@OKC","NO","OKC","","","",""
"17182-9577","SF","Rudy","","Gay","33.19444444444444","18","7000","SAC@NY","SAC","NY","","","",""
"17182-9692","SG","Tyreke","","Evans","31.47199951171875","25","6900","NO@OKC","NO","OKC","O","Knee","",""
"17182-9561","C","DeAndre","","Jordan","30.171427408854168","21","6800","IND@LAC","LAC","IND","","","",""
"17182-9475","PG","Derrick","","Rose","28.857894094366777","19","6600","SAC@NY","NY","SAC","","","",""
"17182-15684","SG","Victor","","Oladipo","27.845001220703125","20","6400","NO@OKC","OKC","NO","","","",""
"17182-58253","C","Myles","","Turner","30.72222222222222","18","6400","IND@LAC","IND","LAC","","","",""
"17182-9957","PF","Serge","","Ibaka","26.554998779296874","20","6200","ORL@DET","ORL","DET","","","",""
"17182-23096","SG","Evan","","Fournier","26.410000610351563","20","5900","ORL@DET","ORL","DET","","","",""
